time,SMControlTest.done,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
850,z,1,0,0,1,10,1,1,100,0,0,10,0,0,1,10,0,1,0,z,1,10,1,0,1,0,0,0,1,10,1
860,z,1,0,0,1,10,1,1,100,0,0,10,0,0,1,11,0,0,0,z,1,10,1,0,1,0,0,0,1,10,1
870,z,1,0,0,1,10,1,1,100,0,0,11,0,0,1,11,0,0,0,z,1,11,1,0,1,0,0,0,1,10,1
890,z,1,0,0,1,10,1,1,100,0,0,11,0,0,0,11,0,0,0,z,1,11,1,0,1,0,0,0,0,10,1
910,z,1,0,0,1,10,1,1,100,0,0,11,0,1,0,11,0,0,0,z,1,11,1,0,1,0,0,1,0,10,1
930,z,0,0,0,0,0,0,0,100,1,0,11,0,1,0,11,0,0,1,z,0,11,0,0,0,0,0,1,0,0,0
940,z,0,0,0,0,0,0,0,100,0,0,11,0,1,0,11,0,0,0,z,0,11,0,0,0,0,0,1,0,0,0
960,z,0,0,0,0,0,0,0,100,0,0,11,0,0,0,11,0,0,0,z,0,11,0,0,0,0,0,0,0,0,0
980,z,0,0,0,0,0,0,0,100,1,0,11,0,0,0,11,0,0,1,z,0,11,0,0,0,0,0,0,0,0,0
1000,z,0,0,0,0,0,0,0,100,0,0,11,0,0,0,11,0,1,0,z,0,11,0,0,0,0,0,0,0,0,0
1030,z,0,0,0,0,1,0,0,100,0,0,11,0,0,1,11,0,1,0,z,0,11,0,0,0,0,0,0,1,1,0
1050,z,0,0,0,0,1,0,0,100,0,0,11,0,1,1,11,0,1,0,z,0,11,0,0,0,0,0,1,1,1,0
1070,z,0,0,0,0,1,0,0,100,1,0,11,0,1,1,11,0,1,1,z,0,11,0,0,0,0,0,1,1,1,0
1120,z,1,0,0,1,10,1,1,100,1,0,11,0,0,1,11,0,1,1,z,1,11,1,0,1,0,0,0,1,10,1
1130,z,1,0,0,1,10,1,1,100,0,0,11,0,0,1,11,0,1,0,z,1,11,1,0,1,0,0,0,1,10,1
1140,z,1,0,0,1,10,1,1,100,0,0,11,0,0,1,100,0,0,0,z,1,11,1,0,1,0,0,0,1,10,1
1150,z,1,0,0,1,10,1,1,100,0,0,100,0,0,1,100,0,0,0,z,1,100,1,0,1,0,0,0,1,10,1
1170,z,1,0,0,1,10,1,1,100,0,0,100,0,0,0,100,0,0,0,z,1,100,1,0,1,0,0,0,0,10,1
1190,z,1,0,0,1,10,1,1,100,0,0,100,0,1,0,100,0,0,0,z,1,100,1,0,1,0,0,1,0,10,1
1210,z,0,0,0,0,0,0,0,100,1,0,100,0,1,0,100,0,0,1,z,0,100,0,0,0,0,0,1,0,0,0
1220,z,0,0,0,0,0,0,0,100,0,0,100,0,1,0,100,0,0,0,z,0,100,0,0,0,0,0,1,0,0,0
1240,z,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,z,0,100,0,0,0,0,0,0,0,0,0
1260,z,0,0,0,0,0,0,0,100,1,0,100,0,0,0,100,0,0,1,z,0,100,0,0,0,0,0,0,0,0,0
1280,z,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,1,0,z,0,100,0,0,0,0,0,0,0,0,0
1310,z,0,0,0,0,1,0,0,100,0,0,100,0,0,1,100,0,1,0,z,0,100,0,0,0,0,0,0,1,1,0
1330,z,0,0,0,0,1,0,0,100,0,0,100,0,1,1,100,0,1,0,z,0,100,0,0,0,0,0,1,1,1,0
1350,z,0,0,0,0,1,0,0,100,1,0,100,0,1,1,100,0,1,1,z,0,100,0,0,0,0,0,1,1,1,0
1400,z,1,0,0,1,10,1,1,100,1,0,100,0,0,1,100,0,1,1,z,1,100,1,0,1,0,0,0,1,10,1
1410,z,1,0,0,1,10,1,1,100,0,0,100,0,0,1,100,0,1,0,z,1,100,1,0,1,0,0,0,1,10,1
1420,z,1,0,0,1,10,1,1,100,0,0,100,0,0,1,101,0,0,0,z,1,100,1,0,1,0,0,0,1,10,1
1430,z,1,0,0,1,10,1,1,100,0,0,101,0,0,1,101,0,0,0,z,1,101,1,0,1,0,0,0,1,10,1
1450,z,1,0,0,1,10,1,1,100,0,0,101,0,0,0,101,0,0,0,z,1,101,1,0,1,0,0,0,0,10,1
1470,z,1,0,0,1,10,1,1,100,0,0,101,0,1,0,101,0,0,0,z,1,101,1,0,1,0,0,1,0,10,1
1490,z,0,0,0,0,0,0,0,100,1,0,101,0,1,0,101,0,0,1,z,0,101,0,0,0,0,0,1,0,0,0
1500,z,0,0,0,0,0,0,0,100,0,0,101,0,1,0,101,0,0,0,z,0,101,0,0,0,0,0,1,0,0,0
1520,z,0,0,0,0,0,0,0,100,0,0,101,0,0,0,101,0,0,0,z,0,101,0,0,0,0,0,0,0,0,0
